3.66609 132.856 0 3 -3.55271e-15 0
0.559433 -105.369 2 0 7.10543e-15 1.42109e-14
3.99114 -175.749 0 3 -1.77636e-14 7.10543e-15
0.731751 -3.66429 0 0 -1.42109e-14 -2.84217e-14
3.37061 96.9179 0 3 7.10543e-15 2.13163e-14
0.642123 -108.5 2 0 -7.10543e-15 0
3.20796 50.1055 0 3 -7.10543e-15 -1.42109e-14
3.53074 136.712 0 3 2.66454e-14 4.26326e-14
3.20457 -52.0011 0 1 -2.4869e-14 -1.42109e-14
3.41506 -17.8375 0 1 -2.66454e-14 -2.13163e-14
0.515204 37.4651 4 5 -7.10543e-15 -2.84217e-14
3.83308 171.465 0 3 -1.77636e-15 -1.42109e-14
0.658273 -123.516 1 0 7.10543e-15 -1.42109e-14
3.75392 158.466 0 3 7.10543e-15 0
3.25512 54.6824 0 3 1.77636e-14 7.10543e-15
0.763156 160.747 2 5 -1.42109e-14 1.42109e-14
3.26368 80.9664 0 3 -1.24345e-14 -7.10543e-15
0.654273 95.3297 1 3 1.42109e-14 1.42109e-14
0.549546 -128.878 3 1 0 -2.84217e-14
0.658751 2.14146 0 0 -7.10543e-15 -2.84217e-14
0.643264 140.263 1 4 7.10543e-15 0
0.488626 -118.108 2 0 0 -4.26326e-14
0.638518 -46.5274 5 3 0 -1.42109e-14
0.693251 -44.3549 1 1 1.42109e-14 0
3.3033 74.1928 0 3 -2.84217e-14 -2.84217e-14
3.49522 119.851 0 3 -5.32907e-15 0
0.684555 99.7521 2 4 7.10543e-15 0
0.468613 -176.084 3 0 -1.42109e-14 -2.84217e-14
3.31133 -52.4467 0 1 -1.95399e-14 -3.55271e-14
0.27856 -147.727 2 1 1.42109e-14 -1.42109e-14
3.26923 110.518 0 3 -8.88178e-15 -1.42109e-14
0.597288 100.943 1 3 -1.42109e-14 -1.42109e-14
0.199309 -177.369 4 1 7.10543e-15 -1.42109e-14
0.702932 156.877 3 0 7.10543e-15 0
3.29057 62.0717 0 3 -2.13163e-14 -2.13163e-14
3.15453 80.7812 0 3 -2.66454e-14 -2.13163e-14
3.39858 100.931 0 3 2.30926e-14 3.55271e-14
3.75747 140.666 0 3 1.95399e-14 4.26326e-14
0.656854 -111.583 4 3 0 1.42109e-14
0.355868 3.79437 3 3 7.10543e-15 0
0.822118 -44.8301 0 4 0 -1.42109e-14
0.473638 63.1577 2 4 -2.13163e-14 1.42109e-14
3.38672 90.3259 0 3 -1.06581e-14 7.10543e-15
0.731772 -136.499 1 0 -7.10543e-15 -1.42109e-14
3.54765 6.17164 1 2 -2.13163e-14 -3.55271e-14
0.67451 58.6912 2 3 0 -4.26326e-14
0.411398 -35.8685 3 3 0 -1.42109e-14
3.21781 40.3675 0 3 -3.55271e-15 7.10543e-15
0.2257 -169.675 3 0 -7.10543e-15 -1.42109e-14
3.31335 94.4917 0 3 -1.77636e-15 0
0.745512 -161.325 3 0 -7.10543e-15 0
3.37264 63.2312 0 3 -3.55271e-15 -7.10543e-15
3.25809 59.5276 0 3 -1.77636e-15 0
0.543504 60.7211 4 0 2.13163e-14 -2.84217e-14
0.111717 -141.633 2 1 7.10543e-15 -1.42109e-14
0.610705 97.6902 4 0 7.10543e-15 -2.84217e-14
3.47047 -1.88628 0 1 -2.13163e-14 -2.84217e-14
3.62917 134.097 0 3 8.88178e-15 0
0.668801 -178.453 4 3 -1.42109e-14 0
3.40588 122.709 0 3 8.88178e-15 0
0.327296 -123.038 4 3 -7.10543e-15 2.84217e-14
3.25584 68.691 0 3 1.24345e-14 1.42109e-14
3.15819 104.15 0 3 5.32907e-15 1.42109e-14
0.459025 40.0443 2 3 -7.10543e-15 1.42109e-14
3.43702 28.3516 0 3 -7.10543e-15 0
0.202328 -176.904 2 5 -7.10543e-15 0
0.267858 61.5396 2 3 7.10543e-15 2.84217e-14
3.24759 67.2779 0 3 -8.88178e-15 -1.42109e-14
3.4148 -82.8494 0 0 -5.32907e-15 1.42109e-14
0.666983 135.432 1 4 2.84217e-14 -1.42109e-14
3.29584 92.4448 0 3 0 1.42109e-14
3.55034 139.997 0 3 -7.10543e-15 -7.10543e-15
3.29697 -46.1688 1 2 4.61853e-14 4.26326e-14
3.27265 115.69 0 3 -8.88178e-15 1.42109e-14
0.784448 115.591 3 5 -7.10543e-15 1.42109e-14
3.46633 110.256 0 3 1.06581e-14 2.84217e-14
3.59102 3.25253 0 1 1.77636e-14 3.55271e-14
3.75578 154.268 0 3 1.06581e-14 4.26326e-14
0.93988 6.38315 5 0 7.10543e-15 0
0.561015 84.0565 4 0 -1.42109e-14 -4.26326e-14
0.68826 -39.3707 1 1 -2.84217e-14 -5.68434e-14
3.41281 105.886 0 3 -1.77636e-15 7.10543e-15
0.172074 76.2477 2 3 0 0
3.36454 24.2491 0 3 1.77636e-14 1.42109e-14
3.39473 15.3488 0 3 0 1.42109e-14
3.4624 114.505 0 3 -1.06581e-14 -1.42109e-14
3.2895 -25.7192 0 1 -1.06581e-14 -1.42109e-14
0.114345 41.0026 1 3 0 -5.68434e-14
0.722355 -171.58 2 5 2.13163e-14 1.42109e-14
3.506 129.137 0 3 1.42109e-14 3.55271e-14
3.38888 111.696 0 3 -8.88178e-15 0
0.651563 10.2392 5 0 7.10543e-15 -4.26326e-14
0.599092 71.3227 2 3 0 -1.42109e-14
3.29193 83.3993 0 3 1.77636e-15 0
3.72029 162.288 0 3 -8.88178e-15 -7.10543e-15
3.24605 74.5741 0 3 1.95399e-14 2.13163e-14
0.332017 -23.9411 3 3 0 -2.84217e-14
3.52598 127.167 0 3 1.24345e-14 1.42109e-14
0.3833 17.1642 3 3 -1.42109e-14 -2.84217e-14
3.3737 60.4369 0 3 -5.32907e-15 1.42109e-14
0.151852 50.6208 5 1 -3.55271e-14 -4.26326e-14
0.713458 31.8665 3 4 -7.10543e-15 -2.84217e-14
3.32697 -20.1815 0 1 -1.24345e-14 -1.42109e-14
0.676086 7.71904 5 0 0 -4.26326e-14
0.654601 59.725 2 3 0 1.42109e-14
3.14432 67.7346 0 3 0 0
3.23531 44.3508 0 3 1.06581e-14 1.42109e-14
0.712321 -143.577 1 0 7.10543e-15 0
0.438706 -128.897 4 3 -7.10543e-15 -1.42109e-14
0.618997 -55.6812 3 3 1.42109e-14 0
3.88105 173.1 0 3 1.42109e-14 1.42109e-14
3.68489 142.126 0 3 0 7.10543e-15
3.61199 123.979 0 3 4.26326e-14 4.9738e-14
3.35521 117.91 0 3 -1.24345e-14 -1.42109e-14
3.14454 88.7909 0 3 -3.55271e-15 -7.10543e-15
0.695928 146.333 2 5 0 5.68434e-14
0.385112 53.2079 3 4 2.13163e-14 -1.42109e-14
3.27554 71.6501 0 3 -3.01981e-14 -1.42109e-14
0.450345 73.9744 1 3 7.10543e-15 -1.42109e-14
3.41433 107.879 0 3 -3.01981e-14 -2.13163e-14
0.695707 -166.519 4 3 -1.42109e-14 -2.84217e-14
3.11276 84.4072 0 3 -8.88178e-15 0
0.627815 32.7432 3 3 0 1.42109e-14
0.544306 -136.12 4 3 0 0
0.656823 136.829 1 4 -7.10543e-15 0
3.23805 65.2737 0 3 -1.77636e-14 -1.42109e-14
0.750952 117.504 2 4 0 -1.42109e-14
0.753701 -111.775 2 0 7.10543e-15 -1.42109e-14
0.554383 -80.2545 0 4 0 1.42109e-14
0.55714 163.935 4 1 -7.10543e-15 0
0.680466 141.27 0 3 0 0
0.518723 -122.723 2 0 0 2.84217e-14
0.359062 71.8216 2 4 0 5.68434e-14
3.29425 78.0359 0 3 2.66454e-14 4.26326e-14
0.397451 -90.2951 5 3 -7.10543e-15 -1.42109e-14
0.529062 -58.5058 5 3 -7.10543e-15 0
0.592187 -11.8103 1 1 0 1.42109e-14
0.667806 133.575 1 4 2.84217e-14 -2.84217e-14
3.46374 -3.02607 1 2 -2.30926e-14 0
0.632729 -62.6741 5 3 7.10543e-15 1.42109e-14
3.66849 139.896 0 3 -8.88178e-15 2.13163e-14
3.35054 96.4763 0 3 -8.88178e-15 1.42109e-14
3.35051 -19.8349 0 1 4.08562e-14 2.84217e-14
3.34034 95.6053 0 3 7.10543e-15 1.42109e-14
0.744352 -64.1202 1 1 7.10543e-15 2.84217e-14
3.29824 107.302 0 3 1.06581e-14 2.13163e-14
3.48452 118.299 0 3 1.95399e-14 1.42109e-14
0.303214 67.4863 4 0 -7.10543e-15 -2.84217e-14
3.43214 -4.28656 0 1 -5.32907e-15 0
0.552218 -130.244 4 3 0 -1.42109e-14
0.766946 -25.4777 3 3 1.42109e-14 2.84217e-14
0.5307 146.163 1 4 0 -1.42109e-14
0.6123 3.092 0 0 7.10543e-15 -1.42109e-14
0.668836 165.361 3 0 7.10543e-15 -4.26326e-14
0.791842 -9.79013 0 0 0 1.42109e-14
0.77772 42.2384 5 0 7.10543e-15 2.84217e-14
3.32787 88.0113 0 3 -7.10543e-15 -7.10543e-15
0.53838 -75.1766 3 1 -3.55271e-15 -1.42109e-14
0.495277 80.325 1 3 -1.42109e-14 0
3.83022 167.255 0 3 0 2.84217e-14
3.36622 98.8536 0 3 1.77636e-14 2.84217e-14
4.13256 -177.685 0 3 1.42109e-14 2.13163e-14
0.481841 65.5461 4 0 -7.10543e-15 0
3.40811 132.185 0 3 2.13163e-14 1.42109e-14
0.49744 160.884 0 3 7.10543e-15 1.42109e-14
3.29094 82.5386 0 3 3.55271e-15 2.13163e-14
